Country,Rank,Bronze,Silver,Gold,Total,year
United States,1,25,32,44,101,1996
Germany,2,27,18,20,65,1996
Russia,3,16,21,26,63,1996
China,4,12,22,16,50,1996
Australia,5,23,9,9,41,1996
France,6,15,7,15,37,1996
Italy,7,12,10,13,35,1996
South Korea,8,5,15,7,27,1996
Cuba,9,8,8,9,25,1996
Ukraine,10,12,2,9,23,1996
Canada,11,8,11,3,22,1996
Hungary,12,10,4,7,21,1996
Romania,13,9,7,4,20,1996
Netherlands,14,10,5,4,19,1996
Poland,15,5,5,7,17,1996
Spain,16,6,6,5,17,1996
Bulgaria,17,5,7,3,15,1996
Brazil,18,9,3,3,15,1996
Great Britain,19,6,8,1,15,1996
Belarus,20,8,6,1,15,1996
Japan,21,5,6,3,14,1996
Czech Republic,22,4,3,4,11,1996
Kazakhstan,23,4,4,3,11,1996
Greece,24,0,4,4,8,1996
Sweden,25,2,4,2,8,1996
Kenya,26,3,4,1,8,1996
Switzerland,27,0,3,4,7,1996
Norway,28,3,2,2,7,1996
Denmark,29,1,1,4,6,1996
Turkey,30,1,1,4,6,1996
New Zealand,31,1,2,3,6,1996
Belgium,32,2,2,2,6,1996
Nigeria,33,3,1,2,6,1996
Jamaica,34,2,3,1,6,1996
South Africa,35,1,1,3,5,1996
North Korea,36,2,1,2,5,1996
Ireland,37,1,0,3,4,1996
Finland,38,1,2,1,4,1996
Indonesia,39,2,1,1,4,1996
Serbia and Montenegro,40,2,1,1,4,1996
Ethiopia,41,1,0,2,3,1996
Algeria,42,1,0,2,3,1996
Slovakia,43,1,1,1,3,1996
Iran,44,1,1,1,3,1996
Argentina,45,1,2,0,3,1996
Austria,46,2,1,0,3,1996
Croatia,47,0,1,1,2,1996
Armenia,48,0,1,1,2,1996
Portugal,49,1,0,1,2,1996
Thailand,50,1,0,1,2,1996
Namibia,51,0,2,0,2,1996
Slovenia,52,0,2,0,2,1996
Malaysia,53,1,1,0,2,1996
Moldova,54,1,1,0,2,1996
Uzbekistan,55,1,1,0,2,1996
Trinidad and Tobago,56,2,0,0,2,1996
Morocco,57,2,0,0,2,1996
Georgia,58,2,0,0,2,1996
Costa Rica,59,0,0,1,1,1996
Hong Kong,60,0,0,1,1,1996
Burundi,61,0,0,1,1,1996
Ecuador,62,0,0,1,1,1996
Syria,63,0,0,1,1,1996
Philippines,64,0,1,0,1,1996
Tonga,65,0,1,0,1,1996
Chinese Taipei,66,0,1,0,1,1996
Zambia,67,0,1,0,1,1996
Bahamas,68,0,1,0,1,1996
Latvia,69,0,1,0,1,1996
Azerbaijan,70,0,1,0,1,1996
India,71,1,0,0,1,1996
Uganda,72,1,0,0,1,1996
Mexico,73,1,0,0,1,1996
Mozambique,74,1,0,0,1,1996
Israel,75,1,0,0,1,1996
Mongolia,76,1,0,0,1,1996
Tunisia,77,1,0,0,1,1996
Puerto Rico,78,1,0,0,1,1996
Lithuania,79,1,0,0,1,1996
